date;daily_avg_temperature;sunshine_duration;rainfall_duration;avg_air_pressure;avg_cloudiness
19800101;9;23;22;10072;5
19800102;-4;27;2;10175;4
19800103;-23;0;59;10208;6
19800104;16;0;96;10072;8
19800105;39;0;67;10060;8
19800106;50;-1;77;10073;8
19800107;32;0;3;10150;8
19800108;14;0;6;10229;8
19800109;1;0;0;10228;8
19800110;-5;0;0;10298;8
19800111;-27;0;0;10379;7
19800112;-55;67;0;10417;0
19800113;-70;69;0;10355;0
19800114;-61;0;0;10199;5
19800115;-41;-1;0;10151;7
19800116;-21;28;0;10188;7
19800117;-35;58;0;10193;2
19800118;-45;48;0;10137;2
19800119;-25;63;0;10107;1
19800120;-9;0;16;10098;6
19800121;25;0;31;10007;7
19800122;43;0;26;9949;7
19800123;31;6;24;9979;5
19800124;21;4;2;10036;6
19800125;26;10;5;10150;7
19800126;9;23;3;10232;4
19800127;18;45;1;10274;6
19800128;-6;0;31;10242;7
19800129;12;0;2;10167;8
19800130;62;2;5;10034;8
19800131;70;27;85;9857;7
19800201;13;65;5;10067;5
19800202;35;0;81;10013;7
19800203;40;0;62;10020;8
19800204;16;7;42;10039;8
19800205;78;0;98;9963;8
19800206;70;0;67;10056;8
19800207;63;-1;16;10094;8
19800208;75;-1;6;10160;7
19800209;85;39;0;10107;6
19800210;70;10;4;10157;5
19800211;56;2;3;10236;5
19800212;45;0;0;10258;7
19800213;50;0;0;10208;5
19800214;16;9;0;10202;6
19800215;51;0;64;10154;8
19800216;62;4;0;10172;8
19800217;56;22;0;10259;6
19800218;50;40;0;10259;3
19800219;27;86;0;10225;1
19800220;42;84;0;10206;0
19800221;48;89;0;10228;1
19800222;54;87;0;10230;1
19800223;45;0;44;10279;7
19800224;54;42;0;10284;4
19800225;47;-1;0;10257;7
19800226;29;0;0;10308;8
19800227;26;0;0;10343;8
19800228;37;0;0;10335;8
19800229;61;0;0;10286;8
19800301;58;56;0;10247;5
19800302;34;4;1;10185;6
19800303;20;42;3;10206;5
19800304;39;0;2;10215;8
19800305;33;52;0;10136;4
19800306;54;1;83;9927;8
19800307;66;-1;58;9845;8
19800308;57;3;25;9971;6
19800309;32;0;0;10151;6
19800310;59;7;60;10169;8
19800311;56;0;14;10178;7
19800312;55;0;124;10121;7
19800313;67;4;58;10040;8
19800314;44;3;3;10123;8
19800315;24;0;0;10183;8
19800316;38;0;0;10194;8
19800317;52;2;0;10138;8
19800318;45;18;0;10123;7
19800319;4;0;0;10162;6
19800320;-6;98;0;10070;0
19800321;-7;28;1;9978;5
19800322;13;6;5;10034;6
19800323;17;30;0;10100;4
